UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,(*)Production_Qty,(*)Availability,(*)Quality_Rate,(*)Defect_Rate,(*)Power_Consumption,(*)Performance,(*)OEE,(*)Risk_Level,(*)Maintenance_Priority,(*)Equipment_ID,(*)Line
3143,L50322,L,300.6,310,1658,34.7,88,0,0,0,0,0,0,106.8,93.42,100,0,57.5326,92.1111111111111,86.0502,Low,Normal,MC-3143,Line 101
3144,H32557,H,300.6,310,1419,42.4,90,0,0,0,0,0,0,106.5,93.92,99.28,0.719999999999999,60.1656,78.8333333333333,73.5071767466667,Medium,Plan,MC-3144,Line 201
3145,M18004,M,300.6,310,1478,36.3,95,0,0,0,0,0,0,105.75,93.46,100,0,53.6514,82.1111111111111,76.7410444444445,Medium,Plan,MC-3145,Line 102
3146,M18005,M,300.5,310,1415,43.5,98,0,0,0,0,0,0,105.3,93.38,98.95,1.05,61.5525,78.6111111111111,72.6362814722222,Medium,Plan,MC-3146,Line 102
3147,M18006,M,300.5,309.9,1780,26.5,101,0,0,0,0,0,0,104.85,91.26,100,0,47.17,98.8888888888889,90.246,Low,Normal,MC-3147,Line 102
3148,M18007,M,300.4,309.7,1440,42.8,104,0,0,0,0,0,0,104.4,93.28,99.22,0.780000000000001,61.632,80,74.0419328,Medium,Plan,MC-3148,Line 102
3149,H32562,H,300.4,309.8,1448,39.7,107,0,0,0,0,0,0,103.95,93.66,100,0,57.4856,80.4444444444444,75.3442666666667,Medium,Plan,MC-3149,Line 201
3150,H32563,H,300.4,309.7,1500,35.2,112,0,0,0,0,0,0,103.2,92.56,100,0,52.8,83.3333333333333,77.1333333333333,Medium,Plan,MC-3150,Line 201
3151,L50330,L,300.4,309.8,1513,32.9,117,0,0,0,0,0,0,102.45,91.9,100,0,49.7777,84.0555555555555,77.2470555555555,Medium,Plan,MC-3151,Line 101
3152,L50331,L,300.5,309.8,1428,43.8,119,0,0,0,0,0,0,102.15,92.48,98.9,1.10000000000001,62.5464,79.3333333333333,72.5604245333333,Medium,Plan,MC-3152,Line 101
3153,M18012,M,300.5,309.8,1473,42.3,121,0,0,0,0,0,0,101.85,92.7,99.35,0.650000000000006,62.3079,81.8333333333333,75.36641325,Medium,Plan,MC-3153,Line 102
3154,M18013,M,300.5,309.9,1483,49.3,124,0,0,0,0,0,0,101.4,91.18,97.23,2.76999999999998,73.1119,82.3888888888889,73.0413042566667,Medium,Plan,MC-3154,Line 102
3155,L50334,L,300.4,309.7,1534,42.5,127,0,0,0,0,0,0,100.95,92.42,99.31,0.689999999999998,65.195,85.2222222222222,78.2189173711111,Medium,Plan,MC-3155,Line 101
3156,L50335,L,300.5,309.8,1367,54,129,0,0,0,0,0,0,100.65,90.04,95.84,4.16000000000001,73.818,75.9444444444444,65.5357540622222,Warning,Normal,MC-3156,Line 101
3157,L50336,L,300.4,309.7,1467,36.9,131,0,0,0,0,0,0,100.35,92.14,100,0,54.1323,81.5,75.0941,Medium,Plan,MC-3157,Line 101
3158,M18017,M,300.4,309.7,1488,42.2,133,0,0,0,0,0,0,100.05,92.24,99.4,0.599999999999994,62.7936,82.6666666666667,75.7942229333333,Medium,Plan,MC-3158,Line 102
3159,L50338,L,300.4,309.7,1679,30.1,136,0,0,0,0,0,0,99.6,90.58,100,0,50.5379,93.2777777777778,84.4910111111111,Medium,Plan,MC-3159,Line 101
3160,H32573,H,300.4,309.8,1409,47.5,138,0,0,0,0,0,0,99.3,90.98,97.79,2.21000000000001,66.9275,78.2777777777778,69.6432238211111,Warning,Normal,MC-3160,Line 201
3161,M18020,M,300.4,309.7,1367,51.2,143,0,0,0,0,0,0,98.55,90.04,96.7,3.3,69.9904,75.9444444444444,66.1238253111111,Warning,Normal,MC-3161,Line 102
3162,L50341,L,300.4,309.8,1314,63.1,146,0,0,0,0,0,0,98.1,87.54,93.11,6.89000000000001,82.9134,73,59.50120062,High,Urgent,MC-3162,Line 101
3163,L50342,L,300.5,309.9,1480,40,148,0,0,0,0,0,0,97.8,92.08,100,0,59.2,82.2222222222222,75.7102222222222,Medium,Plan,MC-3163,Line 101
3164,L50343,L,300.4,309.8,1549,38.9,150,0,0,0,0,0,0,97.5,91.78,100,0,60.2561,86.0555555555556,78.9817888888889,Medium,Plan,MC-3164,Line 101
3165,L50344,L,300.4,309.7,1685,31.3,152,0,0,0,0,0,0,97.2,90.18,100,0,52.7405,93.6111111111111,84.4185,Medium,Plan,MC-3165,Line 101
3166,L50345,L,300.4,309.6,1536,34.5,154,0,0,0,0,0,0,96.9,90.74,100,0,52.992,85.3333333333333,77.4314666666667,Medium,Plan,MC-3166,Line 101
3167,M18026,M,300.4,309.7,1539,37.7,156,0,0,0,0,0,0,96.6,91.3,100,0,58.0203,85.5,78.0615,Medium,Plan,MC-3167,Line 102
3168,L50347,L,300.4,309.7,1384,45.1,159,0,0,0,0,0,0,96.15,90.62,98.53,1.47,62.4184,76.8888888888889,68.6524634577778,Warning,Normal,MC-3168,Line 101
3169,M18028,M,300.4,309.6,1614,30.3,161,0,0,0,0,0,0,95.85,89.62,100,0,48.9042,89.6666666666667,80.3592666666667,Medium,Plan,MC-3169,Line 102
3170,M18029,M,300.4,309.6,1675,35.5,164,0,0,0,0,0,0,95.4,90.54,100,0,59.4625,93.0555555555556,84.2525,Medium,Plan,MC-3170,Line 102
3171,M18030,M,300.4,309.7,1685,32.3,167,0,0,0,0,0,0,94.95,89.78,100,0,54.4255,93.6111111111111,84.0440555555555,Medium,Plan,MC-3171,Line 102
3172,L50351,L,300.4,309.6,1386,56.9,170,0,0,0,0,0,0,94.5,87.82,95.01,4.98999999999999,78.8634,77,64.24709214,Warning,Normal,MC-3172,Line 101
3173,M18032,M,300.3,309.6,1488,41.3,172,0,0,0,0,0,0,94.2,90.86,99.69,0.310000000000002,61.4544,82.6666666666667,74.87808944,Medium,Plan,MC-3173,Line 102
3174,L50353,L,300.3,309.6,1624,32.6,175,0,0,0,0,0,0,93.75,89.52,100,0,52.9424,90.2222222222222,80.7669333333333,Medium,Plan,MC-3174,Line 101
3175,L50354,L,300.3,309.6,1600,34.6,177,0,0,0,0,0,0,93.45,89.84,100,0,55.36,88.8888888888889,79.8577777777778,Medium,Plan,MC-3175,Line 101
3176,L50355,L,300.3,309.6,1468,44.7,179,0,0,0,0,0,0,93.15,89.9,98.67,1.33,65.6196,81.5555555555556,72.3433091333333,Medium,Plan,MC-3176,Line 101
3177,L50356,L,300.3,309.6,1435,45.4,181,0,0,0,0,0,0,92.85,89.68,98.46,1.54000000000001,65.149,79.7222222222222,70.3938676,Medium,Plan,MC-3177,Line 101
3178,M18037,M,300.2,309.5,1564,33.4,183,0,0,0,0,0,0,92.55,89.36,100,0,52.2376,86.8888888888889,77.6439111111111,Medium,Plan,MC-3178,Line 102
3179,M18038,M,300.2,309.4,1329,53.6,186,0,0,0,0,0,0,92.1,87.84,96.04,3.95999999999999,71.2344,73.8333333333333,62.28693408,Warning,Normal,MC-3179,Line 102
3180,L50359,L,300.1,309.3,1570,36.8,189,0,0,0,0,0,0,91.65,89.8,100,0,57.776,87.2222222222222,78.3255555555556,Medium,Plan,MC-3180,Line 101
3181,M18040,M,300.2,309.4,1433,48.8,191,0,0,0,0,0,0,91.35,88.6,97.48,2.52,69.9304,79.6111111111111,68.7579512444444,Warning,Normal,MC-3181,Line 102
3182,L50361,L,300.2,309.4,1527,37,194,0,0,0,0,0,0,90.9,89.64,100,0,56.499,84.8333333333333,76.0446,Medium,Plan,MC-3182,Line 101
3183,M18042,M,300.1,309.3,1443,50.3,196,0,0,0,0,0,0,90.6,88.1,97.05,2.95,72.5829,80.1666666666667,68.54334175,Warning,Normal,MC-3183,Line 102
3184,L50363,L,300.1,309.3,1616,32,199,0,0,0,0,0,0,90.15,88.44,100,0,51.712,89.7777777777778,79.3994666666667,Medium,Plan,MC-3184,Line 101
3185,L50364,L,300.1,309.3,1654,31,201,0,0,0,0,0,0,89.85,88.16,100,0,51.274,91.8888888888889,81.0092444444444,Medium,Plan,MC-3185,Line 101
3186,L50365,L,300.1,309.3,1685,27.1,203,0,0,0,0,0,0,89.55,87.3,100,0,45.6635,93.6111111111111,81.7225,Medium,Plan,MC-3186,Line 101
3187,M18046,M,300.2,309.4,1456,48.8,205,0,0,0,0,0,0,89.25,88.04,97.48,2.52,71.0528,80.8888888888889,69.4199704177778,Warning,Normal,MC-3187,Line 102
3188,M18047,M,300.2,309.4,1752,27.8,208,0,0,0,0,0,0,88.8,87.24,100,0,48.7056,97.3333333333333,84.9136,Medium,Plan,MC-3188,Line 102
3189,M18048,M,300.1,309.2,1438,51,211,0,0,0,0,0,0,88.35,87.36,96.86,3.14,73.338,79.8888888888889,67.5994980266667,Warning,Normal,MC-3189,Line 102
3190,L50369,L,300.1,309.1,1551,33.7,214,0,0,0,0,0,0,87.9,88.18,100,0,52.2687,86.1666666666667,75.9817666666667,Medium,Plan,MC-3190,Line 101
3191,L50370,L,300.1,309.2,1599,30.1,216,0,0,0,0,0,0,87.6,87.38,100,0,48.1299,88.8333333333333,77.6225666666667,Medium,Plan,MC-3191,Line 101
3192,M18051,M,300.1,309.2,1732,33.7,218,0,0,0,0,0,0,87.3,88.02,100,0,58.3684,96.2222222222222,84.6948,Medium,Plan,MC-3192,Line 102
3193,M18052,M,300.1,309.2,1418,39.8,221,0,0,0,0,0,0,86.85,89.12,100,0,56.4364,78.7777777777778,70.2067555555556,Medium,Plan,MC-3193,Line 102
3194,L50373,L,300,309.1,1401,44.5,0,0,0,0,0,0,0,120,97.1,98.83,1.17,62.3445,77.8333333333333,74.6919255166667,Medium,Plan,MC-3194,Line 101
3195,L50374,L,300,309,1454,51.7,2,0,0,0,0,0,0,119.7,95.58,96.69,3.31,75.1718,80.7777777777778,74.65183506,Medium,Plan,MC-3195,Line 101
3196,M18055,M,300,309.2,1635,32.4,4,0,0,0,0,0,0,119.4,96.32,100,0,52.974,90.8333333333333,87.4906666666667,Low,Normal,MC-3196,Line 102
3197,L50376,L,300,309.1,1489,40.3,7,0,0,0,0,0,0,118.95,97.66,100,0,60.0067,82.7222222222222,80.7865222222222,Medium,Plan,MC-3197,Line 101
3198,L50377,L,300,309.1,1465,40.6,9,0,0,0,0,0,0,118.65,97.52,100,1.4210854715202E-14,59.479,81.3888888888889,79.3704444444444,Medium,Plan,MC-3198,Line 101
3199,M18058,M,300,309.1,1463,45.7,11,0,0,0,0,0,0,118.35,96.42,98.47,1.53000000000002,66.8591,81.2777777777778,77.1690024233333,Medium,Plan,MC-3199,Line 102
3200,H32613,H,300.1,309.1,1560,35.4,14,0,0,0,0,0,0,117.9,96.52,100,0,55.224,86.6666666666667,83.6506666666667,Medium,Plan,MC-3200,Line 201
3201,M18060,M,300.1,309.2,1454,44.4,19,0,0,0,0,0,0,117.15,96.36,98.84,1.16,64.5576,80.7777777777778,76.9345520533333,Medium,Plan,MC-3201,Line 102
3202,L50381,L,300.2,309.1,1479,47,22,0,0,0,0,0,0,116.7,95.72,98.08,1.92,69.513,82.1666666666667,77.1398546133333,Medium,Plan,MC-3202,Line 101
3203,L50382,L,300.2,309.2,1430,43.4,24,0,0,0,0,0,0,116.4,96.36,99.14,0.859999999999999,62.062,79.4444444444444,75.8943137333333,Medium,Plan,MC-3203,Line 101
3204,M18063,M,300.1,309.1,1533,38,26,0,0,0,0,0,0,116.1,96.56,100,0,58.254,85.1666666666667,82.2369333333333,Medium,Plan,MC-3204,Line 102
3205,L50384,L,300.1,309,1404,54.8,29,0,0,0,0,0,0,115.65,93.88,95.76,4.23999999999999,76.9392,78,70.12160064,Medium,Plan,MC-3205,Line 101
3206,M18065,M,300.1,308.9,1548,38.4,31,0,0,0,0,0,0,115.35,96.44,100,0,59.4432,86,82.9384,Medium,Plan,MC-3206,Line 102
3207,M18066,M,300.1,309,1612,33,34,0,0,0,0,0,0,114.9,95.24,100,0,53.196,89.5555555555556,85.2927111111111,Low,Normal,MC-3207,Line 102
3208,M18067,M,300.2,309,1642,31.2,37,0,0,0,0,0,0,114.45,94.76,100,0,51.2304,91.2222222222222,86.4421777777778,Low,Normal,MC-3208,Line 102
3209,M18068,M,300.2,309.1,1406,42.2,40,0,0,0,0,0,0,114,95.96,99.52,0.480000000000004,59.3332,78.1111111111111,74.5956361955556,Medium,Plan,MC-3209,Line 102
3210,L50389,L,300.3,309.2,1587,31.4,43,0,0,0,0,0,0,113.55,94.56,100,0,49.8318,88.1666666666667,83.3704,Medium,Plan,MC-3210,Line 101
3211,M18070,M,300.3,309.2,1364,47.6,45,0,0,0,0,0,0,113.25,94.68,97.88,2.12,64.9264,75.7777777777778,70.22537632,Medium,Plan,MC-3211,Line 102
3212,L50391,L,300.3,309.2,1462,51.4,48,0,0,0,0,0,0,112.8,93.8,96.74,3.26000000000001,75.1468,81.2222222222222,73.7027663555555,Medium,Plan,MC-3212,Line 101
3213,L50392,L,300.3,309.2,1649,32.4,50,0,0,0,0,0,0,112.5,94.48,100,0,53.4276,91.6111111111111,86.5541777777778,Low,Normal,MC-3213,Line 101
3214,L50393,L,300.4,309.2,1752,29,52,0,0,0,0,0,0,112.2,93.72,100,0,50.808,97.3333333333333,91.2208,Low,Normal,MC-3214,Line 101
3215,H32628,H,300.4,309.3,1396,51.2,54,0,0,0,0,0,0,111.9,93.6,96.78,3.22,71.4752,77.5555555555556,70.2545376,Medium,Plan,MC-3215,Line 201
3216,M18075,M,300.5,309.4,2179,16.3,59,0,0,0,0,0,0,111.15,90.9,100,0,35.5177,100,90.9,Low,Normal,MC-3216,Line 102
3217,L50396,L,300.5,309.5,1653,27.6,62,0,0,0,0,0,0,110.7,93.04,100,0,45.6228,91.8333333333333,85.4417333333333,Low,Normal,MC-3217,Line 101
3218,L50397,L,300.6,309.5,2025,21.4,64,0,0,0,0,0,0,110.4,91.72,100,0,43.335,100,91.72,Low,Normal,MC-3218,Line 101
3219,L50398,L,300.6,309.6,1426,53.6,66,0,0,0,0,0,0,110.1,92.64,96,4,76.4336,79.2222222222222,70.455808,Medium,Plan,MC-3219,Line 101
3220,M18079,M,300.6,309.6,1503,38.4,68,0,0,0,0,0,0,109.8,94.96,100,0,57.7152,83.5,79.2916,Medium,Plan,MC-3220,Line 102
3221,M18080,M,300.7,309.6,1525,36.5,71,0,0,0,0,0,0,109.35,94.46,100,0,55.6625,84.7222222222222,80.0286111111111,Medium,Plan,MC-3221,Line 102
3222,L50401,L,300.6,309.6,1423,49.1,74,0,0,0,0,0,0,108.9,93.22,97.35,2.65000000000001,69.8693,79.0555555555556,71.7426557833333,Medium,Plan,MC-3222,Line 101
3223,M18082,M,300.7,309.7,1435,44.7,76,0,0,0,0,0,0,108.6,94.02,98.65,1.34999999999999,64.1445,79.7222222222222,73.9429430833333,Medium,Plan,MC-3223,Line 102
3224,H32637,H,300.6,309.5,1495,36.5,79,0,0,0,0,0,0,108.15,94.14,100,0,54.5675,83.0555555555556,78.1885,Medium,Plan,MC-3224,Line 201
3225,M18084,M,300.6,309.5,1557,33.8,84,0,0,0,0,0,0,107.4,93.4,100,0,52.6266,86.5,80.791,Medium,Plan,MC-3225,Line 102
3226,L50405,L,300.6,309.4,1474,40.7,87,0,0,0,0,0,0,106.95,94.38,99.91,0.0900000000000034,59.9918,81.8888888888889,77.2171752733333,Medium,Plan,MC-3226,Line 101
3227,L50406,L,300.5,309.3,1465,46,89,0,0,0,0,0,0,106.65,93.24,98.34,1.66,67.39,81.3888888888889,74.6272758,Medium,Plan,MC-3227,Line 101
3228,M18087,M,300.5,309.3,1589,34.9,91,0,0,0,0,0,0,106.35,93.34,100,0,55.4561,88.2777777777778,82.3984777777778,Medium,Plan,MC-3228,Line 102
3229,L50408,L,300.5,309.3,1475,46.8,94,0,0,0,0,0,0,105.9,92.88,98.1,1.89999999999999,69.03,81.9444444444444,74.66391,Medium,Plan,MC-3229,Line 101
3230,L50409,L,300.6,309.4,1442,43.2,96,0,0,0,0,0,0,105.6,93.52,99.16,0.840000000000003,62.2944,80.1111111111111,74.2905838577778,Medium,Plan,MC-3230,Line 101
3231,L50410,L,300.6,309.4,1556,36,98,0,0,0,0,0,0,105.3,93.28,100,0,56.016,86.4444444444444,80.6353777777778,Medium,Plan,MC-3231,Line 101
3232,L50411,L,300.7,309.3,1425,45.3,100,0,0,0,0,0,0,105,92.94,98.55,1.45,64.5525,79.1666666666667,72.51062625,Medium,Plan,MC-3232,Line 101
3233,L50412,L,300.7,309.3,1580,38.3,102,0,0,0,0,0,0,104.7,93.58,100,0,60.514,87.7777777777778,82.1424444444444,Medium,Plan,MC-3233,Line 101
3234,H32647,H,300.8,309.4,1474,40.7,104,0,0,0,0,0,0,104.4,93.7,99.91,0.0900000000000034,59.9918,81.8888888888889,76.6608319888889,Medium,Plan,MC-3234,Line 201
3235,L50414,L,300.8,309.4,1489,38.4,109,0,0,0,0,0,0,103.65,93.32,100,0,57.1776,82.7222222222222,77.1963777777778,Medium,Plan,MC-3235,Line 101
3236,L50415,L,300.8,309.4,1946,20.5,111,0,0,0,0,0,0,103.35,89.66,100,0,39.893,100,89.66,Low,Normal,MC-3236,Line 101
3237,M18096,M,300.8,309.4,1342,62.4,113,1,0,1,0,0,0,103.05,66.61,93.4,6.59999999999999,83.7408,74.5555555555556,46.3837994888889,High,Immediate,MC-3237,Line 102
3238,M18097,M,300.9,309.5,1758,26.8,116,0,0,0,0,0,0,102.6,90.72,100,0,47.1144,97.6666666666667,88.6032,Low,Normal,MC-3238,Line 102
3239,M18098,M,300.9,309.4,1724,25.6,119,0,0,0,0,0,0,102.15,90.36,100,0,44.1344,95.7777777777778,86.5448,Low,Normal,MC-3239,Line 102
3240,L50419,L,301,309.5,1430,48.5,122,0,0,0,0,0,0,101.7,91.42,97.55,2.45,69.355,79.4444444444444,70.8487223888889,Medium,Plan,MC-3240,Line 101
3241,L50420,L,300.9,309.5,1612,35.2,124,0,0,0,0,0,0,101.4,92.08,100,0,56.7424,89.5555555555556,82.4627555555556,Medium,Plan,MC-3241,Line 101
3242,H32655,H,300.9,309.5,1469,43.4,126,0,0,0,0,0,0,101.1,92.28,99.08,0.920000000000002,63.7546,81.6111111111111,74.6178745866667,Medium,Plan,MC-3242,Line 201
3243,L50422,L,300.9,309.6,1384,42.4,131,0,0,0,0,0,0,100.35,92.28,99.36,0.640000000000001,58.6816,76.8888888888889,70.49896704,Medium,Plan,MC-3243,Line 101
3244,L50423,L,301,309.6,1724,28.1,133,0,0,0,0,0,0,100.05,90.3,100,0,48.4444,95.7777777777778,86.4873333333333,Low,Normal,MC-3244,Line 101
3245,M18104,M,301,309.6,1397,48,135,0,0,0,0,0,0,99.75,91,97.68,2.32000000000001,67.056,77.6111111111111,68.9875853333333,Warning,Normal,MC-3245,Line 102
3246,M18105,M,301,309.6,1588,32.7,138,0,0,0,0,0,0,99.3,91.02,100,0,51.9276,88.2222222222222,80.2998666666667,Medium,Plan,MC-3246,Line 102
3247,L50426,L,301,309.7,1468,42,141,0,0,0,0,0,0,98.85,91.96,99.46,0.539999999999992,61.656,81.5555555555556,74.5934970488889,Medium,Plan,MC-3247,Line 101
3248,M18107,M,301,309.8,1594,31.1,143,0,0,0,0,0,0,98.55,90.5,100,0,49.5734,88.5555555555556,80.1427777777778,Medium,Plan,MC-3248,Line 102
3249,M18108,M,301,309.7,1511,39.3,146,0,0,0,0,0,0,98.1,92.02,100,0,59.3823,83.9444444444444,77.2456777777778,Medium,Plan,MC-3249,Line 102
3250,L50429,L,301.1,309.8,1493,38.9,149,0,0,0,0,0,0,97.65,91.82,100,0,58.0777,82.9444444444444,76.1595888888889,Medium,Plan,MC-3250,Line 101
3251,H32664,H,301.2,309.8,1709,27,151,0,0,0,0,0,0,97.35,89.36,100,0,46.143,94.9444444444444,84.8423555555555,Medium,Plan,MC-3251,Line 201
3252,L50431,L,301.1,309.6,1501,36.1,156,0,0,0,0,0,0,96.6,90.98,100,0,54.1861,83.3888888888889,75.8672111111111,Medium,Plan,MC-3252,Line 101
3253,L50432,L,301.1,309.7,1668,30.8,158,0,0,0,0,0,0,96.3,89.84,100,0,51.3744,92.6666666666667,83.2517333333333,Medium,Plan,MC-3253,Line 101
3254,L50433,L,301.1,309.6,1502,48.9,160,0,0,0,0,0,0,96,89.82,97.41,2.59,73.4478,83.4444444444444,73.00860018,Medium,Plan,MC-3254,Line 101
3255,M18114,M,301,309.7,1288,58.4,162,0,0,0,0,0,0,95.7,87.84,94.54,5.45999999999999,75.2192,71.5555555555555,59.42254976,High,Urgent,MC-3255,Line 102
3256,L50435,L,301,309.7,1491,42.9,165,0,0,0,0,0,0,95.25,90.82,99.19,0.810000000000002,63.9639,82.8333333333333,74.6198765433333,Medium,Plan,MC-3256,Line 101
3257,L50436,L,301.1,309.8,1519,39.6,167,0,0,0,0,0,0,94.95,91.24,100,0,60.1524,84.3888888888889,76.9964222222222,Medium,Plan,MC-3257,Line 101
3258,L50437,L,301.2,309.9,1984,19.7,169,0,0,0,0,0,0,94.65,87.18,100,0,39.0848,100,87.18,Low,Normal,MC-3258,Line 101
3259,L50438,L,301.2,309.9,1643,32.9,171,0,0,0,0,0,0,94.35,89.74,100,0,54.0547,91.2777777777778,81.9126777777778,Medium,Plan,MC-3259,Line 101
3260,M18119,M,301.2,310,1625,31.6,173,0,0,0,0,0,0,94.05,89.4,100,0,51.35,90.2777777777778,80.7083333333333,Medium,Plan,MC-3260,Line 102
3261,M18120,M,301.3,310,2068,17.8,176,0,0,0,0,0,0,93.6,86.52,100,0,36.8104,100,86.52,Low,Normal,MC-3261,Line 102
3262,H32675,H,301.3,310.1,1469,39.7,179,0,0,0,0,0,0,93.15,90.78,100,0,58.3193,81.6111111111111,74.0865666666667,Medium,Plan,MC-3262,Line 201
3263,L50442,L,301.3,310.1,1558,36.3,184,0,0,0,0,0,0,92.4,89.9,100,0,56.5554,86.5555555555556,77.8134444444444,Medium,Plan,MC-3263,Line 101
3264,L50443,L,301.3,310,1344,54.8,186,0,0,0,0,0,0,92.1,87.6,95.56,4.44,73.6512,74.6666666666667,62.5038848,Warning,Normal,MC-3264,Line 101
3265,H32678,H,301.3,310.1,1455,44.1,188,0,0,0,0,0,0,91.8,89.66,98.75,1.25000000000001,64.1655,80.8333333333333,71.5692270833333,Medium,Plan,MC-3265,Line 201
3266,L50445,L,301.3,310.1,1355,53.6,193,0,0,0,0,0,0,91.05,87.56,95.9,4.10000000000001,72.628,75.2777777777778,63.2107801111111,Warning,Normal,MC-3266,Line 101
3267,L50446,L,301.3,310.1,1269,56.8,195,1,0,0,0,1,0,90.75,64.15,94.94,5.06,72.0792,70.5,42.93732705,High,Immediate,MC-3267,Line 101
3268,L50447,L,301.3,310,1550,41.5,197,0,0,0,0,0,0,90.45,89.82,99.55,0.450000000000003,64.325,86.1111111111111,76.9969475,Medium,Plan,MC-3268,Line 101
3269,M18128,M,301.3,310.1,1525,37.8,199,0,0,0,0,0,0,90.15,89.6,100,0,57.645,84.7222222222222,75.9111111111111,Medium,Plan,MC-3269,Line 102
3270,M18129,M,301.3,310,1696,32.4,202,0,0,0,0,0,0,89.7,88.4,100,0,54.9504,94.2222222222222,83.2924444444444,Medium,Plan,MC-3270,Line 102
3271,L50450,L,301.4,310.1,1937,21.8,205,0,0,0,0,0,0,89.25,86.16,100,0,42.2266,100,86.16,Low,Normal,MC-3271,Line 101
3272,M18131,M,301.4,310,1689,32.1,207,0,0,0,0,0,0,88.95,88.14,100,0,54.2169,93.8333333333333,82.7047,Medium,Plan,MC-3272,Line 102
3273,M18132,M,301.3,310,1593,30.8,210,0,0,0,0,0,0,88.5,87.76,100,0,49.0644,88.5,77.6676,Medium,Plan,MC-3273,Line 102
3274,M18133,M,301.3,309.9,1565,36,213,0,0,0,0,0,0,88.05,88.68,100,0,56.34,86.9444444444444,77.1023333333333,Medium,Plan,MC-3274,Line 102
3275,L50454,L,301.3,310,1665,31.4,0,0,0,0,0,0,0,120,96.28,100,0,52.281,92.5,89.059,Low,Normal,MC-3275,Line 101
3276,H32689,H,301.3,310,1532,36.3,2,0,0,0,0,0,0,119.7,97.18,100,0,55.6116,85.1111111111111,82.7109777777778,Medium,Plan,MC-3276,Line 201
3277,L50456,L,301.3,310,1438,40.9,7,0,0,0,0,0,0,118.95,97.54,99.73,0.269999999999996,58.8142,79.8888888888889,77.7132284422222,Medium,Plan,MC-3277,Line 101
3278,L50457,L,301.3,310.1,1531,41.6,9,0,0,0,0,0,0,118.65,97.32,99.5,0.500000000000014,63.6896,85.0555555555556,82.3621863333333,Medium,Plan,MC-3278,Line 101
3279,L50458,L,301.3,310,1506,40.8,11,0,0,0,0,0,0,118.35,97.4,99.76,0.239999999999995,61.4448,83.6666666666667,81.2957541333333,Medium,Plan,MC-3279,Line 101
3280,L50459,L,301.2,309.9,1382,52.4,13,0,0,0,0,0,0,118.05,95,96.3,3.69999999999999,72.4168,76.7777777777778,70.24015,Medium,Plan,MC-3280,Line 101
3281,M18140,M,301.2,309.9,1456,50.8,15,0,0,0,0,0,0,117.75,95.24,96.78,3.21999999999998,73.9648,80.8888888888889,74.5579355733333,Medium,Plan,MC-3281,Line 102
3282,M18141,M,301.2,310,1445,45.6,18,0,0,0,0,0,0,117.3,96.16,98.32,1.68000000000001,65.892,80.2777777777778,75.8982332444444,Medium,Plan,MC-3282,Line 102
3283,L50462,L,301.2,309.9,1515,40.9,21,0,0,0,0,0,0,116.85,96.98,99.75,0.249999999999986,61.9635,84.1666666666667,81.42077125,Medium,Plan,MC-3283,Line 101
3284,L50463,L,301.2,309.9,1449,45.5,23,0,0,0,0,0,0,116.55,95.98,98.37,1.63,65.9295,80.5,76.00449843,Medium,Plan,MC-3284,Line 101
3285,H32698,H,301.2,309.9,1362,50.7,25,0,0,0,0,0,0,116.25,94.86,96.81,3.19,69.0534,75.6666666666667,69.48770094,Warning,Normal,MC-3285,Line 201
3286,L50465,L,301.2,309.9,1687,29.7,30,0,0,0,0,0,0,115.5,94.74,100,0,50.1039,93.7222222222222,88.7924333333333,Low,Normal,MC-3286,Line 101
3287,L50466,L,301.2,310,1618,37.6,32,0,0,0,0,0,0,115.2,96.24,100,0,60.8368,89.8888888888889,86.5090666666667,Low,Normal,MC-3287,Line 101
3288,M18147,M,301.2,310.1,1558,32.6,34,0,0,0,0,0,0,114.9,95.16,100,0,50.7908,86.5555555555556,82.3662666666667,Medium,Plan,MC-3288,Line 102
3289,L50468,L,301.3,310.1,1662,31,37,0,0,0,0,0,0,114.45,94.72,100,0,51.522,92.3333333333333,87.4581333333333,Low,Normal,MC-3289,Line 101
3290,M18149,M,301.2,310.1,1295,56.6,39,0,0,0,0,0,0,114.15,93.12,95,5.00000000000001,73.297,71.9444444444444,63.6449333333333,Warning,Normal,MC-3290,Line 102
3291,L50470,L,301.2,310.2,1385,42.3,42,0,0,0,0,0,0,113.7,95.86,99.27,0.72999999999999,58.5855,76.9444444444444,73.22050415,Medium,Plan,MC-3291,Line 101
3292,M18151,M,301.2,310.1,1479,45.5,44,0,0,0,0,0,0,113.4,95.14,98.33,1.67000000000002,67.2945,82.1666666666667,76.8678714433333,Medium,Plan,MC-3292,Line 102
3293,L50472,L,301.3,310.3,1400,44.3,47,0,0,0,0,0,0,112.95,95.26,98.65,1.34999999999999,62.02,77.7777777777778,73.0908811111111,Medium,Plan,MC-3293,Line 101
3294,M18153,M,301.2,310.3,1357,54.5,49,0,0,0,0,0,0,112.65,93.14,95.59,4.41,73.9565,75.3888888888889,67.1206321011111,Warning,Normal,MC-3294,Line 102
3295,L50474,L,301.1,310.2,1657,34.1,52,0,0,0,0,0,0,112.2,94.74,100,0,56.5037,92.0555555555556,87.2134333333333,Low,Normal,MC-3295,Line 101
